Id,Lot Frontage,BsmtFin SF 1,Total Bsmt SF,1st Flr SF,Gr Liv Area,Garage Area,SalePrice,Exterior 1st_VinylSd,Lot Config_CulDSac
109,69.05520046484602,533.0,725.0,725,1479,475.0,130500,0,1
544,43.0,637.0,913.0,913,2122,559.0,220000,1,1
153,68.0,731.0,1057.0,1057,1057,246.0,109000,1,0
318,73.0,0.0,384.0,744,1444,400.0,174000,1,0
255,82.0,0.0,676.0,831,1445,484.0,138500,0,0
138,137.0,247.0,1517.0,1888,1888,578.0,190000,0,0
2827,35.0,547.0,547.0,1072,1072,525.0,140000,1,0
145,69.05520046484602,1000.0,1188.0,1188,1188,531.0,142000,0,0
1942,69.05520046484602,292.0,924.0,924,924,420.0,112500,0,0
1956,70.0,650.0,1040.0,1040,2080,504.0,135000,0,0
1044,21.0,387.0,483.0,483,987,264.0,85400,0,0
2752,64.0,393.0,1208.0,1208,1208,632.0,183600,1,0
807,120.0,0.0,0.0,1288,2016,576.0,131000,0,0
1177,24.0,813.0,960.0,962,1607,480.0,200000,0,0
1480,74.0,24.0,1351.0,1361,1361,610.0,193000,1,0
324,93.0,0.0,1430.0,1430,1430,624.0,173500,1,0
1311,34.0,0.0,624.0,624,1344,513.0,98000,0,0
770,80.0,651.0,1121.0,1121,1121,480.0,139000,1,0
2063,71.0,0.0,660.0,1285,1285,528.0,143500,0,0
69,72.0,24.0,756.0,764,1547,614.0,215200,1,0
2062,109.0,492.0,894.0,894,894,450.0,129000,1,0
351,40.0,1158.0,1501.0,1659,1659,499.0,278000,0,0
2393,103.0,0.0,1209.0,1209,2253,575.0,344133,0,0
12,69.05520046484602,935.0,1168.0,1187,1187,420.0,185000,0,0
2339,100.0,1056.0,1056.0,1056,1056,572.0,145000,0,0
624,92.0,1312.0,1453.0,1453,1453,530.0,187500,0,0
86,65.0,553.0,894.0,894,894,336.0,138500,0,0
1534,69.05520046484602,606.0,942.0,1265,1938,240.0,198000,0,0
2243,75.0,0.0,957.0,1034,1991,0.0,119600,1,0
1957,60.0,0.0,672.0,672,924,576.0,122900,0,0
380,80.0,1104.0,2524.0,2524,2524,542.0,278000,0,0
2860,69.05520046484602,0.0,792.0,792,1517,400.0,230000,0,0
2517,30.0,437.0,1494.0,1494,1494,481.0,270000,0,1
1933,60.0,441.0,948.0,948,948,410.0,125000,0,0
820,79.0,1288.0,1705.0,1718,1718,826.0,297000,1,0
675,80.0,0.0,160.0,1142,1142,384.0,113500,0,0
2910,41.0,548.0,757.0,925,1475,336.0,127000,0,0
21,105.0,705.0,1844.0,1844,1844,546.0,190000,0,0
1873,80.0,916.0,1242.0,1242,1242,528.0,175500,0,0
2125,60.0,420.0,990.0,990,990,384.0,146000,1,0
1489,75.0,830.0,1256.0,1256,1256,276.0,147500,0,0
2383,107.0,1386.0,2076.0,2076,2076,850.0,465000,1,0
983,69.05520046484602,1097.0,1097.0,1110,1110,602.0,165500,0,0
1325,81.0,0.0,1050.0,1050,1795,352.0,131500,0,0
1378,70.0,906.0,1040.0,1040,1040,384.0,129500,0,0
1537,100.0,210.0,608.0,983,1873,786.0,257076,0,0
905,60.0,408.0,984.0,984,1604,660.0,117000,0,0
1532,60.0,0.0,776.0,851,1502,270.0,149000,0,0
132,80.0,354.0,1056.0,1063,1063,280.0,128000,0,0
1078,36.0,0.0,764.0,764,1626,474.0,155000,1,0
2511,69.05520046484602,353.0,756.0,768,1524,440.0,166000,0,0
912,65.0,622.0,1122.0,1328,1981,576.0,135000,0,0
2351,80.0,790.0,1392.0,1392,2784,564.0,250000,0,0
330,21.0,176.0,546.0,546,1092,0.0,76000,0,0
2586,75.0,0.0,216.0,1575,1575,400.0,155000,0,0
224,80.0,371.0,663.0,663,1352,299.0,158000,0,0
98,24.0,368.0,600.0,600,1200,480.0,149500,0,0
2565,82.0,486.0,936.0,936,936,240.0,121000,0,0
1934,68.0,85.0,1040.0,1040,1040,293.0,136000,0,0
