Id,Year Built,Full Bath,TotRms AbvGrd,Garage Cars
109,1976,2,6,2.0
544,1996,2,8,2.0
153,1953,1,5,1.0
318,2006,2,7,2.0
255,1900,2,6,2.0
138,1966,2,6,2.0
2827,2005,2,5,2.0
145,1959,1,6,2.0
1942,1952,1,6,1.0
1956,1969,1,9,2.0
1044,1971,1,4,1.0
2752,2005,2,6,2.0
807,1880,1,7,2.0
1177,1999,2,7,2.0
1480,2007,2,6,2.0
324,2004,2,7,2.0
1311,1916,1,7,3.0
770,1963,1,5,2.0
2063,1977,1,7,2.0
69,2009,2,7,2.0
2062,1968,1,5,2.0
351,2000,2,5,2.0
2393,2005,2,8,2.0
12,1992,2,6,2.0
2339,1955,1,5,2.0
624,1961,2,6,2.0
86,1965,1,5,1.0
1534,1937,2,7,1.0
2243,1895,2,9,0.0
1957,1949,1,6,2.0
380,1981,2,9,2.0
2860,1929,1,7,2.0
2517,1995,1,6,2.0
1933,1952,1,5,2.0
820,2007,2,7,3.0
675,1958,1,5,1.0
2910,1977,2,6,1.0
21,1977,2,7,2.0
1873,1973,1,6,2.0
2125,1994,1,5,1.0
1489,1965,1,6,1.0
2383,2006,2,7,3.0
983,1978,1,4,2.0
1325,1954,2,7,1.0
1378,1965,1,5,1.0
1537,1935,1,9,2.0
905,1941,2,6,2.0
1532,1931,1,6,1.0
132,1954,1,6,1.0
1078,2003,2,6,2.0
2511,2000,2,4,2.0
912,1928,2,7,2.0
2351,1978,3,12,2.0
330,1970,1,5,0.0
2586,1951,1,5,2.0
224,1969,1,7,1.0
98,2004,2,4,2.0
2565,1954,1,5,1.0
1934,1953,1,6,1.0
997,1996,2,7,2.0
64,1999,2,9,3.0
1799,2007,2,11,2.0
230,1977,1,4,2.0
1295,1920,1,6,1.0
638,1955,1,6,1.0
2278,2007,1,6,0.0
2202,1930,1,5,1.0
2833,2004,2,7,2.0
1707,2006,2,7,3.0
2428,2005,2,6,2.0
242,2009,1,5,2.0
1564,1996,3,7,3.0
2613,1959,1,6,2.0
2832,2004,2,7,2.0
2459,2005,2,7,3.0
1360,1930,1,4,2.0
2723,1924,1,5,1.0
1350,1927,1,4,1.0
136,1960,2,12,2.0
2235,1925,2,6,0.0
1993,1910,1,6,2.0
367,2008,2,9,3.0
1309,1915,1,7,3.0
402,1971,1,5,2.0
1592,1997,2,4,2.0
2409,2006,2,6,2.0
539,2003,2,5,2.0
1940,1956,1,4,1.0
588,1969,2,6,2.0
96,2004,2,4,2.0
1187,1969,2,7,2.0
2154,1996,2,7,2.0
550,1994,2,6,2.0
811,1979,2,8,2.0
124,1964,1,6,2.0
1836,2006,2,5,2.0
779,1960,1,6,2.0
1886,1956,1,6,2.0
1724,2005,2,6,2.0
2450,1995,2,9,3.0
1013,2004,2,7,3.0
2084,1920,1,5,0.0
1184,1976,3,6,2.0
728,1900,1,5,0.0
950,2001,2,7,2.0
2524,1972,2,6,2.0
2513,2000,2,6,2.0
2028,1916,2,10,1.0
2309,1957,1,4,2.0
51,2003,2,6,2.0
699,1939,1,7,2.0
1881,1960,1,6,1.0
1345,1930,2,8,2.0
166,1962,1,5,2.0
781,1947,1,5,0.0
379,1978,2,7,2.0
2818,1959,1,6,2.0
1168,2000,2,5,2.0
1396,1960,2,7,2.0
838,1997,2,7,2.0
1492,1940,1,6,0.0
637,1956,1,6,1.0
1826,1961,1,5,2.0
173,1927,1,5,2.0
715,1947,1,5,1.0
1183,1977,2,9,3.0
2433,2004,2,6,2.0
2866,1932,1,8,3.0
2311,1997,2,6,2.0
1551,1967,1,7,1.0
1049,1977,2,4,2.0
657,1939,2,7,2.0
414,1977,2,6,2.0
1181,1993,1,6,2.0
1514,1925,1,5,0.0
1040,1973,1,5,1.0
216,1875,1,6,0.0
1720,2006,2,6,2.0
2331,2006,3,10,3.0
204,1912,1,7,0.0
19,1951,1,4,2.0
2438,2000,2,9,2.0
89,1962,1,6,1.0
240,1954,1,5,1.0
105,2010,1,6,3.0
2020,1931,1,6,1.0
888,2003,3,7,2.0
1019,1981,2,7,2.0
2132,2000,2,7,2.0
203,1915,1,9,2.0
420,1966,1,5,2.0
2333,2005,3,11,3.0
632,1957,1,6,2.0
2800,1995,2,8,2.0
1885,1958,1,5,1.0
1734,2005,2,6,2.0
2327,1987,2,5,2.0
1282,1964,1,7,2.0
2688,1970,1,6,2.0
2581,1957,1,6,1.0
2067,1918,2,7,2.0
2115,1988,2,7,2.0
754,1922,2,11,0.0
1079,2003,2,6,2.0
2615,1957,1,5,1.0
329,1976,1,4,1.0
1320,1926,1,5,1.0
416,1978,2,7,2.0
284,1941,1,5,1.0
1385,1984,1,5,2.0
275,1954,1,6,1.0
2024,1920,1,7,2.0
68,2009,2,4,2.0
1910,1942,1,7,1.0
381,1978,2,7,2.0
1323,1890,2,10,2.0
2432,2002,2,7,2.0
777,1962,1,6,1.0
1107,1993,2,9,3.0
30,1971,1,5,1.0
282,2003,2,5,2.0
188,1957,1,6,2.0
2356,1975,1,6,2.0
1554,1952,1,4,2.0
1464,2003,2,8,2.0
2469,2005,2,6,2.0
1834,1992,2,9,2.0
1779,2007,2,6,3.0
2569,1966,2,8,2.0
2334,2006,2,10,3.0
2330,2005,3,11,3.0
2119,1976,0,5,2.0
988,1977,2,5,2.0
382,1976,2,6,2.0
670,1969,2,12,4.0
2760,2005,2,6,3.0
543,2008,2,6,3.0
2835,1915,2,7,2.0
1735,2007,2,8,2.0
448,2003,2,8,3.0
2287,1970,1,4,1.0
524,2008,2,10,3.0
1767,1998,2,8,3.0
2206,1941,2,7,1.0
1740,2007,2,7,2.0
199,1936,1,5,2.0
2214,1918,2,10,3.0
323,1965,1,7,2.0
2421,2003,2,7,2.0
952,1977,1,5,2.0
24,1970,1,5,2.0
1139,2007,2,6,2.0
518,2008,2,6,2.0
1390,1963,1,6,1.0
277,1968,1,6,1.0
54,2004,2,6,2.0
649,1952,1,5,1.0
2600,1900,1,5,1.0
617,1953,1,6,2.0
2209,1938,1,5,1.0
2814,2005,2,6,2.0
2542,1961,1,6,1.0
2323,1994,2,9,2.0
1393,1960,1,4,2.0
490,1999,2,7,2.0
542,2003,2,6,2.0
973,1999,2,5,2.0
1012,2005,2,11,3.0
2218,1941,2,5,2.0
2033,1963,3,9,2.0
1071,2008,1,7,3.0
1583,1988,2,5,2.0
2858,1915,1,7,3.0
2265,1985,2,6,2.0
1088,2005,2,5,2.0
698,1910,2,7,0.0
1896,1959,1,6,2.0
628,1968,2,8,1.0
1212,1964,1,6,2.0
2864,1929,2,7,2.0
2740,1952,1,7,2.0
2560,1952,1,6,1.0
1716,2005,2,6,2.0
1130,2007,2,6,2.0
201,1923,1,5,1.0
2886,1979,2,6,2.0
2328,1987,2,5,2.0
2583,1954,1,6,1.0
1206,1957,1,5,1.0
2242,1939,1,4,1.0
1105,1995,2,9,3.0
121,1966,1,6,2.0
1223,1937,1,5,1.0
265,2001,2,6,2.0
2813,2005,2,6,2.0
1294,1940,2,8,2.0
2745,1954,1,5,0.0
1094,2000,2,8,2.0
651,1900,2,7,2.0
198,1948,1,6,1.0
131,1940,1,6,0.0
1258,1940,1,4,1.0
1599,1968,1,6,1.0
1508,1953,1,5,1.0
615,1940,1,5,0.0
1815,1992,2,5,2.0
2712,1966,1,6,1.0
2051,1964,1,5,2.0
1863,2001,2,7,2.0
2510,2005,2,4,2.0
1069,2003,2,9,3.0
336,1984,1,5,2.0
2417,2006,2,8,2.0
1962,1950,1,5,2.0
372,1979,2,7,2.0
2578,1956,1,6,1.0
2824,2002,1,4,0.0
471,2005,2,7,2.0
1544,1980,2,6,2.0
2141,1972,1,5,2.0
2008,1920,1,6,2.0
1075,2007,2,6,3.0
34,1975,2,6,2.0
847,2002,2,7,2.0
1629,1992,2,7,2.0
2073,1984,2,7,2.0
960,2008,2,9,3.0
955,1991,2,5,2.0
2476,2005,2,8,2.0
1590,1997,2,8,4.0
2913,1970,2,8,3.0
149,1956,1,5,1.0
2525,1968,3,8,2.0
1470,2004,1,3,2.0
412,1975,2,4,2.0
1399,1996,1,6,2.0
183,1928,1,5,2.0
974,1973,1,5,1.0
930,1949,2,7,1.0
881,2004,2,7,2.0
1180,1995,1,4,2.0
1553,1958,2,7,1.0
928,1941,1,7,1.0
1512,1954,1,6,1.0
3,1958,1,6,1.0
2140,1975,1,5,2.0
553,1950,1,4,1.0
2594,1947,1,6,2.0
1314,1917,1,8,2.0
366,1984,1,4,2.0
1462,2002,2,6,3.0
2541,1971,2,8,2.0
2088,1920,2,7,1.0
527,2006,2,7,2.0
1824,1962,1,8,1.0
2918,1970,1,5,1.0
49,2005,2,6,2.0
2332,2006,2,11,3.0
826,2007,2,7,2.0
1108,1993,2,9,3.0
2041,1941,1,7,2.0
57,2004,2,7,2.0
520,2008,2,7,2.0
2305,1984,1,5,1.0
2533,1968,1,6,2.0
2852,1920,1,6,1.0
1198,1973,2,8,2.0
1681,1976,2,5,2.0
1773,1992,3,10,2.0
1825,1968,1,5,2.0
2208,1910,2,8,2.0
1646,1984,3,7,2.0
1060,2005,2,10,4.0
748,1916,2,10,2.0
