Id,Total Bsmt SF,1st Flr SF,Gr Liv Area,Garage Area
109,725.0,725,1479,475.0
544,913.0,913,2122,559.0
153,1057.0,1057,1057,246.0
318,384.0,744,1444,400.0
255,676.0,831,1445,484.0
138,1517.0,1888,1888,578.0
2827,547.0,1072,1072,525.0
145,1188.0,1188,1188,531.0
1942,924.0,924,924,420.0
1956,1040.0,1040,2080,504.0
1044,483.0,483,987,264.0
2752,1208.0,1208,1208,632.0
807,0.0,1288,2016,576.0
1177,960.0,962,1607,480.0
1480,1351.0,1361,1361,610.0
324,1430.0,1430,1430,624.0
1311,624.0,624,1344,513.0
770,1121.0,1121,1121,480.0
2063,660.0,1285,1285,528.0
69,756.0,764,1547,614.0
2062,894.0,894,894,450.0
351,1501.0,1659,1659,499.0
2393,1209.0,1209,2253,575.0
12,1168.0,1187,1187,420.0
2339,1056.0,1056,1056,572.0
624,1453.0,1453,1453,530.0
86,894.0,894,894,336.0
1534,942.0,1265,1938,240.0
2243,957.0,1034,1991,0.0
1957,672.0,672,924,576.0
380,2524.0,2524,2524,542.0
2860,792.0,792,1517,400.0
2517,1494.0,1494,1494,481.0
1933,948.0,948,948,410.0
820,1705.0,1718,1718,826.0
675,160.0,1142,1142,384.0
2910,757.0,925,1475,336.0
21,1844.0,1844,1844,546.0
1873,1242.0,1242,1242,528.0
2125,990.0,990,990,384.0
1489,1256.0,1256,1256,276.0
2383,2076.0,2076,2076,850.0
983,1097.0,1110,1110,602.0
1325,1050.0,1050,1795,352.0
1378,1040.0,1040,1040,384.0
1537,608.0,983,1873,786.0
905,984.0,984,1604,660.0
1532,776.0,851,1502,270.0
132,1056.0,1063,1063,280.0
1078,764.0,764,1626,474.0
2511,756.0,768,1524,440.0
912,1122.0,1328,1981,576.0
2351,1392.0,1392,2784,564.0
330,546.0,546,1092,0.0
2586,216.0,1575,1575,400.0
224,663.0,663,1352,299.0
98,600.0,600,1200,480.0
2565,936.0,936,936,240.0
1934,1040.0,1040,1040,293.0
997,916.0,916,1636,386.0
64,1152.0,1164,2270,671.0
1799,1184.0,1184,2610,550.0
230,1420.0,1483,1483,690.0
1295,936.0,960,1740,225.0
638,1382.0,1382,1382,350.0
2278,1120.0,1120,1120,0.0
2202,531.0,567,1098,216.0
2833,976.0,976,1708,380.0
1707,1802.0,1802,1802,843.0
2428,1362.0,1506,1506,440.0
242,1508.0,1508,1508,572.0
1564,1840.0,2032,2032,786.0
2613,655.0,1194,1194,539.0
2832,970.0,970,1709,380.0
2459,1616.0,1616,1616,834.0
1360,768.0,768,768,440.0
2723,872.0,872,872,322.0
1350,520.0,520,520,240.0
136,1105.0,1105,2274,480.0
2235,936.0,936,1601,0.0
1993,616.0,616,1232,480.0
367,2216.0,2234,2234,1166.0
1309,876.0,876,1416,720.0
402,864.0,864,864,576.0
1592,1189.0,1189,1189,392.0
2409,1666.0,1666,1666,575.0
539,1176.0,1200,1200,555.0
1940,928.0,928,928,252.0
588,1288.0,1336,1336,502.0
96,600.0,600,1200,480.0
1187,1427.0,1427,1427,516.0
2154,860.0,1212,1992,608.0
550,754.0,754,1540,495.0
811,0.0,1535,1535,400.0
124,1152.0,1152,1152,484.0
1836,1141.0,1151,1151,484.0
779,1138.0,1138,1138,480.0
1886,894.0,1074,1074,396.0
1724,1561.0,1561,1561,556.0
2450,1342.0,1358,2726,725.0
1013,1884.0,1884,1884,670.0
2084,528.0,605,605,0.0
1184,1426.0,1671,1671,550.0
728,245.0,797,797,0.0
950,804.0,804,1961,560.0
