Id,Total Bsmt SF,1st Flr SF,Gr Liv Area,Garage Area,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_Greens,Neighborhood_IDOTRR,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,Overall Qual,Exter Qual,Bsmt Qual,Kitchen Qual,Year Built,Full Bath,TotRms AbvGrd,Garage Cars,Grla_tbsf,ovl_ext,ovl_area
109,725.0,725,1479,475.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,4,3,4,1976,2,6,2.0,1072275.0,24,8874
544,913.0,913,2122,559.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,4,4,4,1996,2,8,2.0,1937386.0,28,14854
153,1057.0,1057,1057,246.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,4,1953,1,5,1.0,1117249.0,15,5285
318,384.0,744,1444,400.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,3,4,3,2006,2,7,2.0,554496.0,15,7220
255,676.0,831,1445,484.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,3,2,3,1900,2,6,2.0,976820.0,18,8670
138,1517.0,1888,1888,578.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,4,3,4,1966,2,6,2.0,2864096.0,24,11328
2827,547.0,1072,1072,525.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,4,3,2005,2,5,2.0,586384.0,18,6432
145,1188.0,1188,1188,531.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,3,1959,1,6,2.0,1411344.0,15,5940
1942,924.0,924,924,420.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,3,3,3,1952,1,6,1.0,853776.0,15,4620
1956,1040.0,1040,2080,504.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,3,4,2,1969,1,9,2.0,2163200.0,15,10400
1044,483.0,483,987,264.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,3,1971,1,4,1.0,476721.0,18,5922
2752,1208.0,1208,1208,632.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,4,4,2005,2,6,2.0,1459264.0,28,8456
807,0.0,1288,2016,576.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,4,0,3,1880,1,7,2.0,0.0,20,10080
1177,960.0,962,1607,480.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,4,4,4,1999,2,7,2.0,1542720.0,32,12856
1480,1351.0,1361,1361,610.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,4,4,2007,2,6,2.0,1838711.0,28,9527
324,1430.0,1430,1430,624.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,5,4,2004,2,7,2.0,2044900.0,15,7150
1311,624.0,624,1344,513.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,3,3,3,1916,1,7,3.0,838656.0,15,6720
770,1121.0,1121,1121,480.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,3,3,3,1963,1,5,2.0,1256641.0,15,5605
2063,660.0,1285,1285,528.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,3,3,3,1977,1,7,2.0,848100.0,18,7710
69,756.0,764,1547,614.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,3,4,4,2009,2,7,2.0,1169532.0,21,10829
2062,894.0,894,894,450.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,3,4,3,1968,1,5,2.0,799236.0,15,4470
351,1501.0,1659,1659,499.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,4,4,5,2000,2,5,2.0,2490159.0,32,13272
2393,1209.0,1209,2253,575.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,4,5,5,2005,2,8,2.0,2723877.0,32,18024
12,1168.0,1187,1187,420.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,4,3,1992,2,6,2.0,1386416.0,18,7122
2339,1056.0,1056,1056,572.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,3,1955,1,5,2.0,1115136.0,15,5280
624,1453.0,1453,1453,530.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,3,1961,2,6,2.0,2111209.0,18,8718
86,894.0,894,894,336.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,3,3,3,1965,1,5,1.0,799236.0,15,4470
1534,942.0,1265,1938,240.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,4,1937,2,7,1.0,1825596.0,15,9690
2243,957.0,1034,1991,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,3,1895,2,9,0.0,1905387.0,15,9955
1957,672.0,672,924,576.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,3,1949,1,6,2.0,620928.0,15,4620
380,2524.0,2524,2524,542.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,4,4,4,1981,2,9,2.0,6370576.0,32,20192
2860,792.0,792,1517,400.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,4,4,1929,1,7,2.0,1201464.0,24,12136
2517,1494.0,1494,1494,481.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,4,4,5,1995,1,6,2.0,2232036.0,32,11952
1933,948.0,948,948,410.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,3,1952,1,5,2.0,898704.0,18,5688
820,1705.0,1718,1718,826.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,5,4,2007,2,7,3.0,2929190.0,32,13744
675,160.0,1142,1142,384.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,3,4,3,1958,1,5,1.0,182720.0,18,6852
2910,757.0,925,1475,336.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,3,1977,2,6,1.0,1116575.0,15,7375
21,1844.0,1844,1844,546.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,3,4,3,1977,2,7,2.0,3400336.0,18,11064
1873,1242.0,1242,1242,528.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,3,3,3,1973,1,6,2.0,1542564.0,21,8694
2125,990.0,990,990,384.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,4,3,1994,1,5,1.0,980100.0,15,4950
1489,1256.0,1256,1256,276.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,3,1965,1,6,1.0,1577536.0,20,6280
