Id,Lot Frontage,BsmtFin SF 1,Total Bsmt SF,1st Flr SF,1st Flr SF,Gr Liv Area,Garage Area,Mas Vnr Area,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_Greens,Neighborhood_IDOTRR,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,Lot Shape,Utilities,Land Slope,Overall Qual,Overall Cond,Exter Qual,Exter Cond,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin Type 2,Heating QC,Electrical,Kitchen Qual,Functional,Fireplace Qu,Garage Finish,Garage Qual,Garage Cond,Paved Drive,Pool QC,Fence
109,69.05520046484602,533.0,725.0,725,725,1479,475.0,289.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,3,3,6,8,4,3,3,3,1,6,1,5,5,4,8,0,2,3,3,3,0,0
544,43.0,637.0,913.0,913,913,2122,559.0,132.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,3,7,5,4,3,4,3,1,6,1,5,5,4,8,3,2,3,3,3,0,0
153,68.0,731.0,1057.0,1057,1057,1057,246.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,5,7,3,4,3,3,1,6,1,3,5,4,8,0,1,3,3,3,0,0
318,73.0,0.0,384.0,744,744,1444,400.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,3,3,5,5,3,3,4,3,1,1,1,4,5,3,8,0,3,3,3,3,0,0
255,82.0,0.0,676.0,831,831,1445,484.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,3,6,8,3,3,2,4,1,1,1,3,5,3,8,0,1,3,3,1,0,0
138,137.0,247.0,1517.0,1888,1888,1888,578.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,6,6,4,3,3,3,1,5,3,5,5,4,5,4,3,3,3,3,0,0
2827,35.0,547.0,547.0,1072,1072,1072,525.0,82.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,6,5,3,3,4,3,4,6,1,4,5,3,8,0,3,3,3,3,0,0
145,69.05520046484602,1000.0,1188.0,1188,1188,1188,531.0,180.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,5,5,3,3,3,3,1,3,1,2,5,3,8,0,2,3,3,3,0,3
1942,69.05520046484602,292.0,924.0,924,924,924,420.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,3,3,5,5,3,3,3,3,1,3,1,3,5,3,8,0,1,3,3,3,0,3
1956,70.0,650.0,1040.0,1040,1040,2080,504.0,192.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,5,5,3,3,4,3,3,3,1,3,5,2,8,3,1,3,3,3,0,0
1044,21.0,387.0,483.0,483,483,987,264.0,232.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,6,5,3,3,3,3,1,5,1,3,5,3,8,0,1,3,3,3,0,0
2752,64.0,393.0,1208.0,1208,1208,1208,632.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,7,5,4,3,4,3,3,6,1,5,5,4,8,0,2,3,3,3,0,0
