Id,Lot Shape,Utilities,Land Slope,Overall Qual,Overall Cond,Exter Qual,Exter Cond,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin Type 2,Heating QC,Electrical,Kitchen Qual,Functional,Fireplace Qu,Garage Finish,Garage Qual,Garage Cond,Paved Drive,Pool QC,Fence
109,3,3,3,6,8,4,3,3,3,1,6,1,5,5,4,8,0,2,3,3,3,0,0
544,3,3,3,7,5,4,3,4,3,1,6,1,5,5,4,8,3,2,3,3,3,0,0
153,4,3,3,5,7,3,4,3,3,1,6,1,3,5,4,8,0,1,3,3,3,0,0
318,4,3,3,5,5,3,3,4,3,1,1,1,4,5,3,8,0,3,3,3,3,0,0
255,3,3,3,6,8,3,3,2,4,1,1,1,3,5,3,8,0,1,3,3,1,0,0
138,3,3,3,6,6,4,3,3,3,1,5,3,5,5,4,5,4,3,3,3,3,0,0
2827,4,3,3,6,5,3,3,4,3,4,6,1,4,5,3,8,0,3,3,3,3,0,0
145,3,3,3,5,5,3,3,3,3,1,3,1,2,5,3,8,0,2,3,3,3,0,3
1942,4,3,3,5,5,3,3,3,3,1,3,1,3,5,3,8,0,1,3,3,3,0,3
1956,3,3,1,5,5,3,3,4,3,3,3,1,3,5,2,8,3,1,3,3,3,0,0
1044,4,3,3,6,5,3,3,3,3,1,5,1,3,5,3,8,0,1,3,3,3,0,0
2752,3,3,3,7,5,4,3,4,3,3,6,1,5,5,4,8,0,2,3,3,3,0,0
807,4,3,3,5,7,4,3,0,0,0,0,0,5,5,3,5,3,1,3,3,2,0,0
1177,4,3,3,8,5,4,3,4,3,1,6,1,5,5,4,8,0,1,3,3,3,0,0
1480,4,3,3,7,5,4,3,4,3,3,6,1,5,5,4,8,0,2,3,3,3,0,0
324,4,3,3,5,5,3,3,5,3,3,1,1,5,5,4,8,0,2,3,3,3,0,0
1311,4,3,3,5,5,3,3,3,3,1,1,1,2,5,3,8,0,1,2,2,3,0,0
770,4,3,3,5,6,3,3,3,3,1,3,1,3,5,3,8,0,1,3,3,3,0,3
2063,4,3,3,6,5,3,3,3,3,1,1,1,5,5,3,8,3,2,3,3,3,0,3
69,4,3,3,7,5,3,3,4,3,2,6,1,5,5,4,8,0,1,3,3,3,0,0
2062,4,3,3,5,5,3,3,4,3,1,4,1,4,5,3,8,1,3,3,3,3,0,0
351,3,3,3,8,5,4,3,4,3,1,6,1,5,5,5,8,5,3,3,3,3,0,0
