,date,tweet
0,2020-08-30 23:59:09+00:00,No lol the power went out at midnight it woke me up cause my fan went off. Then again at 4 ish because I was hot and just stayed up. I got a lot of shit done though 
1,2020-07-17 21:03:37+00:00,Renovating a bathroom doesn’t have to be a massive undertaking. #DiscoverPersonalLoans #ad https://www.realsimple.com/featured/ReviveABoringBathroomDiscoverPersonalLoans2020?sm_r=YABsRS
2,2020-08-30 23:58:07+00:00,Big time storm north of Atlanta. Lighting thunder and whatnot. Power went out for 10 min and my internet still sucks. Did big E win?
3,2020-08-30 23:57:45+00:00,sooo only my power went out ?
4,2020-08-30 23:55:49+00:00,MY POWER WENT OUT WHILE I WAS WATCHING RHE VMAS SOMEONE UPDATE ME
5,2020-08-30 23:54:09+00:00,For those who jumped to the stream I’m sorry my power went out due to some crazy ass storm
6,2020-08-30 23:49:07+00:00,thunder and lightning like shit over here and my power just went out. miss the west coast 
7,2020-08-30 23:48:42+00:00,Lightning keeps striking outside my window. The apartment building next door's fire alarm is going wild. and my power just went out. I think this is the end...
8,2020-08-30 23:48:26+00:00,my fucking power went out. :)
9,2020-08-30 23:45:07+00:00,My power went out
10,2020-08-30 23:40:58+00:00,oh my god i almost went back out to work with my pants not fully pulled up
11,2020-08-30 23:37:16+00:00,Went to check on my pops since his power still out this mf gon say “Thanks for coming but hell I might as well been dead it took you this long to check on me but thank you for coming” 
12,2020-08-30 23:35:28+00:00,They made a few cosmetic updates to the building but seem to struggle with necessities. Like Power. My power went out twice in my apartment only due to a blown fuse for a total of 33hours. I had to fight them for a $20 credit and “I’m sorry.”
13,2020-08-30 23:34:21+00:00,Nooooo my power went out right when we got in a groove. Dang storms 
14,2020-08-30 23:31:15+00:00,Damn the power went out and my phone is at 4%
15,2020-08-30 23:20:07+00:00,Glad I ended stream when I did my power just went out
16,2020-08-30 23:14:32+00:00,i think my power just went out um
17,2020-08-30 23:10:52+00:00,uh um my power just went out lol- WAIT NVM IT JUSY TURNED BACK ON ??!?!*×€+£
18,2020-08-30 23:04:28+00:00,Had to stop grading because my power went out... Again. On the bright side it seems like 2020 is struggling to come up with new ideas!
19,2020-08-30 23:03:51+00:00,Yo my power just went out. It better be back on before the #BlackPantherWatchParty. #BlackPanther #ChadwickBoseman
20,2020-08-30 23:02:06+00:00,MY FUCKIN POWER JUST WENT OUT FOR NO REASON
21,2020-08-30 23:01:32+00:00,My power just went out 
22,2020-08-18 19:48:41+00:00,Looking to adapt to change with greater agility? Read this guide to explore five key behaviors for IT leaders:
23,2020-08-30 23:00:58+00:00,"my power went out but it came back on, the storm is clearing u &lt;33 thank youu"
24,2020-08-30 22:58:04+00:00,And my power just went out .. .
25,2020-08-30 22:53:03+00:00,"My power went out, and it’s 95/way too high, but that ain’t stopping me from living my best life. Got my iPad tethered to the phone, watching some @BasicallyIDoWrk, and went and got some Waffle House. Big vibes"
26,2020-08-30 22:50:58+00:00,"OH MY GOD MY POWER WENT OUT I CSNT SEE ANYTHING, HELP IM GONNA MISS VENOMSaajsjshBa-"
27,2020-08-30 22:49:39+00:00,MY POWER WENT OUT.
28,2020-08-30 22:48:08+00:00,My power went out 
29,2020-08-30 22:46:05+00:00,annoyed cause we actually made a teensy bit of prog today in e8s but had to quit early cause my power went out :(
30,2020-08-30 22:44:33+00:00,my power went out like 10 mins ago fck
31,2020-08-30 22:44:25+00:00,bruh basically my power went out and isn’t coming back on and my service is being so shit ughh
32,2020-08-30 22:44:18+00:00,Are you f'n kidding me? My power just went out. I already don't have gas. 
33,2020-08-30 22:43:19+00:00,My backyard south of Moulton. At least 2.79” of rain in 1 hr time. Rainfall likely higher but the power went out at my house &amp; knocked my Weather Station offline. Tweeting via Cellular Data. #alwx #valleywx @NWSHuntsville @spann @simpsonwhnt @ChristinaWHNTwx @EmilyWZDX
34,2020-08-30 22:40:08+00:00,Who told it to storm so bad that my power went out?!?
35,2020-08-30 22:31:25+00:00,the power went out &amp; my roommate and i both actually did some light cleaning for once... we rly do live in a society
36,2020-08-30 22:29:59+00:00,"Lmao my power went out like 10 minutes after this, so God hit the dislike button for you"
37,2020-08-30 22:26:06+00:00,"Everywhere I made memories at, the places I hung out, where me and my friends went to are forever changed or gone. The fact that there’s so many of us just sitting around without power and electricity and not a single news station has said anything is fucking mind boggling."
38,2020-08-30 22:19:53+00:00,"So my power is out and my little sister asked, “do the toilets still work?” I went way tf back. "
39,2020-08-30 22:16:37+00:00,short horror story: i was drawing on photoshop when my power went out and i had not saved in 30 mintues
40,2020-08-30 22:08:47+00:00,@Slayybtw my power went out 
41,2020-08-30 22:08:38+00:00,AMBER I KNOW ITS BEEN QUITE A FEW HOURS SINCE THIS AND I HOPE YOURE OK BUT AS SOON AS THIS TWEET CAME ON MY TL SOMETHING WENT BOOM IN MY NEIGHBORHOOD AND MY POWER WENT OUT
42,2020-08-30 22:07:50+00:00,Also when I said the render was 99% done I wasn't kidding. My power went out while I was rendering the very last frame :p I should still be able to post it tonight 
43,2020-09-04 21:22:03+00:00,"Action-packed gameplay, an original cinematic story, and iconic Super Heroes. Marvel's Avengers is available now on PS4, Xbox One, PC, and Stadia!"
44,2020-08-30 22:07:42+00:00,"Power went out for .2, on my way back! "
45,2020-08-30 22:05:39+00:00,My power just went out. This can't be happening on #wynonnaearp mid-season finale day 
46,2020-08-30 22:03:49+00:00,"Dam i ain’t even know people still didn’t have power,, my lights never went out "
47,2020-08-30 21:56:39+00:00,Power just went out in my ENTIRE complex #IrmoSc
48,2020-08-30 21:51:37+00:00,wtf my power went out for a short period and now my pc asked to verify my system and other stuff my google chrome disconnected me everywhere and now my fuckin twitter is back at it again with the fuckin light mode on me i'm scared help me ;~;
