,user,is_retweet,tweet,location, state, state_1
0,justkim_notKim,False,Ppl being rude to me for no reason at all doesn’t hurt me bc I know I have the power to make you cry if I really wanted to so keep it moving,New York, NY,
1,CeleDotson,False,@UMCMuseum I missed out on this too. Huge power outage,United States,,
2,Ish_kiara,False,Bruh I'm not ready for a power outage  this is the very first time I saw a huge spark  like I knew lighting normally does dat but I've nvr experience it,None,,
3,Som99672617,False,@republic Ashamed of d idiots who still r running behind these politicians. Seems they have no work left in their life  other than just polishing. All sub standard people who don't carry their own image or identity. Creepy parasites. I repeat  they need mob attack. Show them d public power,None,,
4,64CaliGirl,False,@SolidRedPeon I say this with much experience on the subject. You should both have durable power of attorney for healthcare naming each other. No hospital can deny it! Prayers up 🙏🏻,Sunny Southern California ,,
5,doradojjk,False,@RJsB1tch Right? I love Dynamite  it’s fun  but you’re right. It’s got none of their musical intricacy  lyrical finesse  sassy wordplay  tight choreo  power message. It’s fluff. It’s the cherry on top when we’re all used to getting served the cupcake and the frosting. People have no idea.,my socially distant house,,
6,HaiboYini,False,@CityTshwane @Eskom_SA Power outage in Die Hoewes  what’s happening?,South Africa,,
7,MostFamousAmos,False,@hoe_karma A man would be upset if no men were in government. It's inspiring that people who know your struggles have the power to support you. Side note  I consider a candidate and their beliefs  as any voter should  not simply the way they were born. A good gay candidate? Bonus points.,None,,
8,manicmendo,False,Power outage We call Encore Encore: We are aware of the power outage and are working on the issue.   Would’ve been nice to give US a heads up!,Texas!!!,,
9,Sammie_Mimi210,False,@SolidRedPeon I’m so sorry  it is wrong! I am praying for your wife  His healing power’s know no distance. May God anoint the hand of those that are treating her. Have Peace my friend  have peace and may you be covered in God’s Grace  He is with you both.,Somewhere near Houston, TX,
10,rotsendal,False,@CityTshwane power outage val-de-grace ref 56/9/12/2020,None,,
11,itsyagooh,False,So...   The power just went out and we’re going to call it a night folks...,Atlanta, GA,
