date,tweet
2020-08-10 23:57:03+00:00,My power just went out on the middle of me completing a mission... :)
2020-09-04 21:22:03+00:00,"Action-packed gameplay, an original cinematic story, and iconic Super Heroes. Marvel's Avengers is available now on PS4, Xbox One, PC, and Stadia!"
2020-08-10 23:56:10+00:00,Power just went out. They're goes my nightly deployment
2020-08-10 23:55:34+00:00,"Power went out, here's to hoping my phone battery can last until it comes back"
2020-08-10 23:55:07+00:00,"Our power went out and couldn’t even use the WiFi with my data for a bit, so had to sit alone with my thoughts and I hope I never have to do that again "
2020-08-10 23:53:39+00:00,"The storms in MO are no joke. my power went out 30 min ago so I'm sitting in my empty, quiet, dark apartment watching the thunderstorm."
2020-08-10 23:53:17+00:00,We had no power yesterday for 4+ hours and I was able to take power for my phone from the laptop that was charged up. Ours went out today because of a storm but thankfully came back on. Hope that yours is on soon 
2020-08-10 23:53:03+00:00,the way i was holding on to my army bomb for dear life when the power went out earlier and the hail and wind hit help 
2020-08-10 23:53:01+00:00,My power just went out 
2020-08-10 23:52:27+00:00,omg my power went out and internet was down so i couldn’t respond to this right away but same to you ilyt /p
2020-08-10 23:52:27+00:00,HELPP THR POWER WENT OUT AT THE WALMART MY FRIEND WORKS @WHY IS THAT SO FUNNY TO ME 
2020-08-10 23:52:06+00:00,Would love to but a tree went through the side of my house and took out my power line and phone line.
2020-08-10 23:51:04+00:00,I have a lot of eggs in the John basket. Need a good day tomorrow to make up for my crappy DT day today (power went out from 1pm-current).. lost some $$trading on the phone and closing out positions to manage risk (edited to remove acct info) 
2020-08-10 23:50:41+00:00,To whomever the Ana was who nanoboosted a Zarya in Mystery Heroes then that Zarya disconnected... I'm sorry... my power went out due to a thunderstorm. #Overwatch
2020-08-10 23:50:22+00:00,My power went out
2020-08-10 23:50:21+00:00,hey y’all so my power went out and the internet was down due to some bad weather in my town for a hot second so i’m so sorry if i disappeared for a lil and didn’t respond or say anything oops
2020-08-10 23:50:01+00:00,my power went out for a second and now i dont feel like turning on my tv just to watch jay play danganronpa
2020-08-10 23:49:16+00:00,my power just went out and it’s not even storming anymore it’s literally sunny
