date,tweet,user
2020-04-10 23:49:55+00:00,Power went out again. It came back pretty quickly this time but I'm sure getting sick of setting the clock on my coffee maker.,DelishCreative
2020-04-10 23:41:30+00:00,My power went out while I was streaming yesterday and it FRIED my webcam. ITS DEAD. Thank god it wasn't my PC. No cam until I get a new one ,DrasseL
2020-04-10 23:39:35+00:00,Unfortunately my power went out Stream will start as soon as (if) it comes back tonight in the meantime please send good vibes and memes ,CrikMaster
2020-04-10 23:29:12+00:00,Power went out in my building. My phone is at 55% and my Switch is at 47%. This is the worst. I don't have a back up battery to charge my phone.,sword0fstorms
2020-04-10 23:23:00+00:00,1. Just found out the stay at home order in LA got extended 2. My zoom interview with the VP of Finance got cut cause my power went out 3. Power is out for at least 3 more hours in my neighborhood grid. The most eventful day I’ve had in awhile ,heartcassie
2020-04-10 23:17:29+00:00,I took a Canvas break today! Was it because (a) I encouraged my students to take a break during our long weekend &amp; wanted to be a good example OR (b) my power went out at 11 am due to snapped power poles (srsly) &amp; isn’t est to come back until 9 pm or later??,ProfKKloepper
2020-04-10 23:17:07+00:00,Oh my god. My power went out today and i could have the difference...,JustDandyArt
2020-04-10 23:15:05+00:00,"Deluxe Edition ... thru Amazon which still hasn’t shipped; making me have to on top of it, by standard digital version just so I can play it. THEN the power supply went out on my pro, making me use the money I had been stashing away for the 5 on a new ps4 ",Mithril_Phoenix
2020-04-10 22:54:10+00:00,"The night my wife and I saw it, the power went out in our neighborhood. We sat in the dark for a while both getting more paranoid. Finally we drove to an all-night burger joint five miles away and sat there until our electric company emailed me saying it was back.",PrestonFassel
2020-04-10 22:45:32+00:00,My power just went out!! #nonkiteflyers #happygoodfriday,silkkesmooth23
2020-04-10 22:42:17+00:00,"Went out in my black mask today, and it was great. I felt both responsible and like a Power Ranger.",itskiboo
2020-04-10 22:19:28+00:00,"So far so good here, though my power just went out.",ASadiablo
2020-04-10 22:18:15+00:00,Thankfully dinner was ready when it was. My power just went out.,ASadiablo
2020-04-10 22:18:10+00:00,My power went out ,adinross
2020-04-10 22:16:00+00:00,Tell my homie my power went out and he goes “that 5G” ,yourboyeddie
2020-04-10 22:16:00+00:00,"Oh, so that's why my power went out for a minute... ",razmig
2020-04-10 22:10:30+00:00,"My power went out, my phone is at 12%, the lockdown got extended to May 15th. ",jxnwa
2020-04-10 22:03:03+00:00,Today as I was giving a presentation on zoom my professor’s power went out and stayed out for the rest of class. Being God’s favorite can be hard sometimes but it definitely has its perks ,rmhida
2020-04-10 21:54:26+00:00,"Hey @BearGrylls, the power went out in my apartment so you’re my only hope to survive this thing",dustinswedelson
2020-04-10 21:51:44+00:00,My power just went out ,yourboyeddie
2020-04-10 21:49:57+00:00,The power just went out at my job,OH_NahNahh
2020-09-04 21:22:03+00:00,"Action-packed gameplay, an original cinematic story, and iconic Super Heroes. Marvel's Avengers is available now on PS4, Xbox One, PC, and Stadia!",PlayAvengers
2020-04-10 21:48:47+00:00,My power just went out for a second and I almost had a heart attack.,UsernameHere
2020-04-10 21:40:50+00:00,Of course my power just went out,WenYurBoardYT
2020-04-10 21:36:09+00:00,My power went out ,CocoJenell
2020-04-10 21:34:19+00:00,So the power on my block just randomly went out? Okay ,StarXunderscore
2020-04-10 21:24:12+00:00,"Yoooo my power went out in my game with @thedragongem @Dakotaen @9to5Bob and @MayLeighDamage AND NOW I KNOW WHY. Props to Burbank though, it was only out for a few seconds in the midst of this catastrophe :O ",BDaveWalters
2020-04-10 21:13:17+00:00,@pulte my freaking power steering pump went out on my car on my way to work ,SebastianRab
2020-04-10 21:08:31+00:00, power came back on a few min after my backup went out ,mollyissogyo
2020-04-10 21:04:03+00:00,"Bro, same thing happened to me yesterday. Forgot to save the night before and when I came home from work I found out my power went out. Luckily it was only 2-3 hours of confidant stuff, but it still sucks ",NextLevelOtaku
2020-04-10 20:56:17+00:00,Well.. good thing I’m not working in the office right now. I’m pretty sure the power went out in my building. ,999ghosties
2020-04-10 20:54:35+00:00,My power went out in the middle of doing this ,bunniexcat
2020-04-10 20:51:50+00:00,wtf my power went out,sippycupsapnap
2020-04-10 20:51:00+00:00,Turns out I got my valorant key right before my power went out LOL time to GRIND ,Elusivessb
2020-04-10 20:47:17+00:00,Power went out in my building JUST as the song finished.,Seth_Brower
2020-04-10 20:44:10+00:00,"Lmao my power went out, now what",thevoiceofdogLP
2020-04-10 20:42:37+00:00,Of course today my power went out it was a local thing here in Boca. Jumped into my car turned on the AC and just sat there until FPL arrived. It was a hot one today.,jdldavies
2020-04-10 20:41:58+00:00,THE POWER JUST WENT OUT AND I DIDNT SAVE MY FUCKING COURSEWORK,glowjuns
2020-04-10 20:29:21+00:00,A lot of them happen when you're asleep and you might not notice it. I can assure you you've probably had more than 2. I can tell when my power went out over night cause the timer on my oven blinks.,PlayerEssence
2020-04-10 20:27:08+00:00,John that was some wind last night. I had stuff all over my yard this morning since our power went out right when it started last night and I couldn’t see a thing. Didn’t restore til this morning. Enjoy your afternoon ,Jwill30Jeanne
2020-04-10 20:24:33+00:00,The power in my house just went out right before I was about to score a touchdown in Madden...,KPalmer_
2020-04-10 20:20:34+00:00,"Working from home, the power went out during my lunch. And the battery backup supply I took from work only has 35min left on it ",mollyissogyo
2020-09-04 21:22:03+00:00,"Action-packed gameplay, an original cinematic story, and iconic Super Heroes. Marvel's Avengers is available now on PS4, Xbox One, PC, and Stadia!",PlayAvengers
2020-04-10 20:15:11+00:00,My power went out today for hrs and I stay in country has Wi-Fi and I'm pregnant I refuse go to campus risk getting sick this is a crisis that they should not give us so much work when some are not able to sacrifice they life for an A,iamlynnese
2020-04-10 20:11:55+00:00,So all of my power went out and I am now sitting in the garage because I forgot to close the garage and now it's open and because the power is not on I cannot close it so I now have to sit here for three hours until they get the power back on,BlueBTROfficial
2020-04-10 20:08:49+00:00,Whoa! This must be why my power went out a little while ago. (Came back quickly.),matt_almos
