date,tweet,user
2020-02-10 23:49:55+00:00,"Right after I finished a level in Lego Marvel Avengers, the power went out I hope my save is ok at least, Im fine with redoing the level if i have to",MineStar135
2020-08-27 13:49:33+00:00,REGISTER TODAY! Be a part of this year's virtual experience. Connect with accomplished leaders from across the country that are taking action and advancing #cleanenergy solutions for a stronger America. #NCEW20 #CleanEnergyWeek,NCEWConf
2020-02-10 23:33:31+00:00,I’d never unfollow for speaking your mind rationally and passionately. it’s interesting you bring up Aspergers. I took care of a kid one day when power went out in my area and it was 110 degrees. He kept telling us to just buy a generator. Just a kid of course but made his pitch!,RocknRikRampage
2020-02-10 23:31:09+00:00,The fact that I just went into Great Clips and got my hair chopped off in the most disgusting way and I’m NOT bawling my eyes out .... power,karleefuckinana
2020-02-10 23:26:46+00:00,"See, I thought I was safe because I bought an expensive surge protector that said it had $1,000,000 coverage for anything plugged into it and blah blah blah, but I never came so close to a heart attack than I did when the power went out and my computer was on ",DebbieeeCo
2020-02-10 23:17:55+00:00, don't feel bad my power went out last night and still ain't on yet,John02565595
2020-02-10 23:04:35+00:00,My power went out @work &amp; they still got our asses here serving customers &amp; shit ,allentaylorjean
2020-02-10 22:56:58+00:00,"Power went out on a nice sunny 63°F day. Dogs, cats fed. Already gym'd. 500+ ppl in my neighborhood affected. I could use some extra sleep.",NoShirtFlipFlop
2020-02-10 22:56:36+00:00,"Before I went to a wedding my mother in law offered to wash and iron my pants for me, they were the only pants I had for the weekend, half way through the wash cycle the power went out. So for the wedding all I was left to wear was a pair of yellow shorts, I decided to own it. ",matthewraye
2020-02-10 22:53:51+00:00,Power went out for 20 minutes tonight at my Nice Airbnb... guess this is why. ,lisaletostak
2020-02-10 22:49:56+00:00,Damn it! The power went out! And I totally need it to power up my tablet to draw! ,vexes21
2020-02-10 22:33:18+00:00,"ugh i tried to book when it was only $40, but by the time i finished it went up to $75 and i didn’t have enough in my account. it’s like there’s a greater power out there that never wants me to meet @LanaParrilla ..",petiteparrilla
2020-02-10 22:31:46+00:00,The power at my work went out which is fun,soft_rumpus
2020-02-10 22:31:43+00:00,"lowkey glad nicki wasn’t on power cause if she woulda went near Tommy, I woulda had to lay my sis out",pacsoffspring
2020-02-10 22:26:17+00:00,Well looks like no stream tonight. My power just went out ,Cl0ak_Gaming
2020-02-10 22:12:09+00:00,my power just went out ,pulchri2d
2020-02-10 22:11:36+00:00,"Full scooby doo shenanigans when power went out @this hospital. I just rode an elevator up and down 12 times, went to floors 2, 9, and 5 (trying to get to 7) and had to let my boyfriend in a random stairwell that was locked from the inside trying to get to a doctors appointment",yetsoffar
2020-02-10 21:44:12+00:00,"Home from the trip but not too long after arriving and starting to get my lunch/dinner ready, power went out Currently still without power... Gotta love the efficiency of the Power / Electricity company, a few soft drops of rain and boom goes the power &gt;A&gt;",PumPuririn
2020-02-10 21:30:43+00:00,Wow. My power randomly went out. ,the_monAlicia
2020-02-10 21:24:56+00:00,"#3goodthings 1. No 2 son had a brilliant taster day at secondary school 2. I went out to town for the first time in 3 weeks thanks to a kind friend who drove me, carried my shopping and picked up my sticks when I dropped them... repeatedly 3. The power has come back on",GerryakaTracey
2020-02-10 21:17:10+00:00,Power went out for an hour so I tried to heat up my pizza with a flow,ClayBorrellBot
2020-02-10 21:16:30+00:00,Sooooo why the power at my job just went out like wtf,Pearl2DaStg
2020-08-27 13:49:33+00:00,REGISTER TODAY! Be a part of this year's virtual experience. Connect with accomplished leaders from across the country that are taking action and advancing #cleanenergy solutions for a stronger America. #NCEW20 #CleanEnergyWeek,NCEWConf
2020-02-10 21:10:21+00:00,"At my cousin’s wedding on stormy day, her dad was going to sing for her. Just before it began, wind caught a door and slammed it into his face and cracked one of his front teeth off. He superglued the tooth back on and sang the song...oh and the power went out too! #weddingfail",natechood
2020-02-10 20:57:35+00:00,"My phone Is never on 100% Saturday night forgot to plug the phone...Sunday morning it was 15% I went out with it like that oh, I went with a power bank, yet if I plug for 5mins, I would unplug to play game ....well I did not really charge till it was time to sleep again.",juliet_uwah
2020-02-10 20:55:56+00:00,"So I got my laptop back today, but after a lightning strike on my building and a power surge that bypassed my surge protection... I lost my 5 year old PS4 and my brand new router. The PlayStation went with a right bang and a big blue spark flew out the back. Also the thunder 1/2",MagnusMcKay
2020-02-10 20:39:57+00:00,Power in half the house went out last night. I was in the middle of cooking and the kitchen was included in the powerless half. Now I don’t have power in my master bedroom and my WiFi doesn’t work. @HwnElectric,CierraSharell
2020-02-10 20:39:42+00:00,The power went out at work and I’m like thank you Jesus bc ya girl is a little hung over. BUT NO. MY COMPUTER IS THE ONLY ONE WORKING WITH INTERNET SO I HAVE TO STAY and EVERYONE ELSE CAN LEAVE LMAO,sydneyfayeee
2020-02-10 20:25:42+00:00,"My whole power went out for an hour, I live in the texas",AnimeShine18
2020-02-10 20:24:16+00:00,"Our houses power never went out so a bunch of family was living at our house so it was basically a huge slumber party with my cousins, it was awesome in my eyes",jonah_kaufman
