date,tweet,user
2020-01-10 23:44:13+00:00,"Another earthquake at our hotel I wasn’t there but it was a 5.1 and I felt it at my family’s house across the city, also the power went out in reparto metropolitano in San Juan and they have closed the 30",TheCheesyCheska
2020-08-18 19:48:57+00:00,How can you build stronger business continuity through fresh insights? Check out our guide:,Workday
2020-01-10 23:23:25+00:00,Power went out and it messed up my streaming pc. Resetting it now. Streams might be delayed for tonight. Sorry friends,FreeZ3KiLLz
2020-01-10 22:57:12+00:00,"the power went out in my house and i keep hearing noises, so i did the only logical thing there is to do. i got two knives and im scouring my house until i find the bitch that's in here and stab them to death ",vantaepedia
2020-01-10 22:56:12+00:00,Well my house’s power went out and I’m on my phone now. So this fucking sucks I hate tweeting on this thing,BlueRepublik
2020-01-10 22:40:15+00:00,And right when I was about to start my stream my power went out FUCK ME,ScorchFlameveil
2020-01-10 22:39:15+00:00,"Please, my power went out I ran out of food stamps and I dont have any food please help...",BAMBITHELITTLE
2020-01-10 22:19:45+00:00,"It was 11:15 and the power went out at my job n my boss said “ we got an update from PSE&amp;G that the power coming back around 3pm , ( I leave work at 3:30) so I was ready to leave and around noon and the fucking power comes back on ! Had to stay Til 3:30 ",chucxie
2020-01-10 22:15:45+00:00,wtf my power just went out????,yoodess
2020-01-10 22:14:34+00:00,My power went out so I asked my roommate to hold a flash light on me while I was doing stuff around the house. It was a helpful gesture until I went into my room to jerk off.,THEBryanSternik
2020-01-10 22:07:21+00:00,The power went out at work and that was a sign from God that I needed to leave early. That’s my thought process anyways.,kinziejoy
2020-01-10 21:56:50+00:00,"So the lights in my school went out and our first thought was .. school shooter? That’s so sad, like how about just a power outage? Nope we thought about the end. Wow. #FridayThoughts",GuitronGladis
2020-01-10 21:46:23+00:00,I need a timeout this weekend plus this area under thunderstorm warning and tornado so...yeah hope you have a safe weekend if I'm away longer then Sunday my power went out or he threat was legit ,HelpSayHelp
2020-01-10 21:33:06+00:00,So my power went out in the middle of my stream. I thought it was my cat cause she was laying up under me but then all the lights cut out and I was like...oh,galaxyiaa
2020-01-10 21:28:18+00:00,power went out and they sent my ass home ,0DAYDREAM00
2020-01-10 21:07:01+00:00,Walked over 1km...in the snow...in high heels...in a flare to get to my dads when our power went out and my phone died. As soon as I got here I got a text saying the power is back on ,earpanddanvers
2020-01-10 21:04:57+00:00,This day two years ago I was in Vegas for the first time and covered a set after the power went out at CES. Next week I open for some crazy dope djs in Anaheim after NAMM. I’ve got butterflies like I just got my first gig &amp; I can see this path coming before me. I’m ready.,DjSpadus
2020-01-10 21:01:06+00:00,I havent really seen most of my neighbors but right now that our power went out we all came out to check outside and we had a little meet and greet LMAOO,maripossssaa
