date,tweet,user
2020-03-10 23:42:20+00:00,"I just went to the Maryland Heights Community Center around ~4:30pm, and I was in/out in 20 minutes with zero wait. My guess is this only effects ""certain"" areas, where the vote of the people in question would be adverse to what the party with the power/control would want.",EberbachDavid
2020-09-04 21:22:03+00:00,"Action-packed gameplay, an original cinematic story, and iconic Super Heroes. Marvel's Avengers is available now on PS4, Xbox One, PC, and Stadia!",PlayAvengers
2020-03-10 23:41:41+00:00,UM my power went out 20 mins before the bachelor finale ???!!! send help,amanda_bouressa
2020-03-10 23:37:32+00:00,"The power went out in my complex and I put my clothes right on and left my neighbor said yours went out too? And I said yep that’s why I’m dipping, no ghost in my house",MalcolmEllis96
2020-03-10 23:33:44+00:00,My power went out...i was just gunna make some dinner lmao qq v qq,MelonMeisterCos
2020-03-10 23:31:52+00:00,Wow .. there must be a power shortage in Garfield my lights just went out wtf,Coliexcole
2020-03-10 23:16:52+00:00,"Stream postponed, my power just went out and its storming really bad. Gotta conserve phone battery. ",AyumiOneesan
2020-03-10 23:03:11+00:00,"power went out so i walked up to the trashy starbucks in my neighborhood, bought an iced tea, sat down, and THEIR internet wasn't working, so i drove to my friend's house to use their wifi and WOW remote work doesn't seem so glamorous now",meganglassman
2020-03-10 22:52:51+00:00,I was drawing today’s animal crossing drawing and my power went out because my flatmate dropped a lamp so rip drawing for today that data is gone,QuietScrappy
2020-03-10 22:52:29+00:00,um ok so the power just went out at my house...,rxxaannaa
2020-03-10 22:29:52+00:00,"WELL. Considering my power went out three times, and now remains indefinitely out until further notice, it appears I am not auditioning for anything today.",SmittySmashVA
2020-03-10 22:20:33+00:00,My power went out too ,Rich81338967
2020-03-10 22:17:56+00:00,omg my power just went out and i wish harry was here to comfort me i was so scared &gt;w&lt;,Cozy_Tomlinson
2020-03-10 22:05:46+00:00,My power went out. Just love hearing that neighborhood surge,XtremeLazyBum
2020-03-10 21:36:50+00:00,"The power went out, seems transformers can't handle a little rain. My phone works!",georgeegirl
2020-03-10 21:34:04+00:00,Exactly what I’ve been saying! The symptoms for it are exactly what my mum and brother and a few others I know went through back last year. Was way worse than a common flu. Definitely the same thing. Just the power of the media &amp; social media blowing everything out of proportion ,james_mcghan
2020-03-10 21:20:59+00:00,"@Rainbow6Game im in Ottawa and my power just went out, forcing my ps4 to restart, in the end banning me.",OttawaMatthew
2020-03-10 20:58:17+00:00,THE POWER WENT OUT WHILE I WAS PLAYING AC ON YHE GAMECUBE AND NOW RESETTI IS ON MY DICK,dykesofficial
2020-03-10 20:49:18+00:00,I guarantee no one born after 1990 understands what Y2K means But at the same time in December 1999 I was 12 & fully believed because my magazine had been printed with a January 2000 date that everything was A-OK I was not OK when the power went out right before midnight NYE ,DamnitWoman1
2020-03-10 20:48:35+00:00,"Cut my profit down by half looking for a vwap cross to upside. SPY was being sloppy &amp; muddy, &amp; my attempt failed causing me to stop out, used the last of my day trade buying power for 100 shares. Sucks that it went through at 11:33 on its third attempt. Oh well more tomorrow! ",LiftLaughGrow
2020-03-10 20:23:16+00:00,"The power went out, my mom and I looked at each other. She yelled out “it’s the Corona virus!!!!” We busted out laughing to hard.",Esos__ojitos
2020-03-10 20:10:52+00:00,We get to the last 45 minutes of the day and the power goes out. As soon as it happened my room went from 72 degrees to 40 wtf,MsEdgeUcation
2020-09-04 21:22:03+00:00,"Action-packed gameplay, an original cinematic story, and iconic Super Heroes. Marvel's Avengers is available now on PS4, Xbox One, PC, and Stadia!",PlayAvengers
2020-03-10 20:03:19+00:00,Just as I finished ordering the power went out. So I got my coffee and brownie for free ,DILFMVP
2020-03-10 19:39:38+00:00,My power went out:(,OKStings
2020-03-10 19:34:57+00:00,My power went out two nights ago. Thanks to the moon for lighting our way for those hours. :) Thanks for your posts!,solarcradle
2020-03-10 19:31:45+00:00,power went out at school but not the part where my class was so i still had to go ,BlRDBOYURlS
2020-03-10 19:21:17+00:00,My power just went out so whenever it comes back on ima hyu .,YKShann_
2020-03-10 19:04:18+00:00,"Well, my power went out approximately 30 seconds after starting the stream...",JeffL0320
2020-03-10 19:04:15+00:00,"So the power went out at my school and this absolute chad whipped out a guitar and started playing, almost the entire lunch room clapped along. ",IKEA_Rat1
2020-03-10 18:42:15+00:00,This was the beginning of a contest entry for a TERA Elin Brawler art contest. My power went out in the middle and corrupted the work file so all I have is a memory of what could have been. (I do think this WIP is cool tho) ,MoonNueArt
2020-03-10 18:19:59+00:00,Power went out as I was making my breakfast and espresso. What a joke!,linajahd
2020-03-10 18:18:51+00:00,"Louis' show in Berlin will probably be cancelled and the power in my house went out so I'm just gonna sit in the dark, listening to Walls and looking at my rainbow candle And how was your day? ",ghostiemedicine
2020-03-10 17:28:04+00:00,Power just went out in my apartments!!,young_dbell
2020-03-10 17:22:13+00:00,"YOU sealed my commitment to never vote GOP again. Congratulations Mitch! In your effort for supreme power, you destroyed your party and everyone’s perceptions of it. Thanks for opening my eyes! This independent went over to the light &amp; out of the darkness. ",MichNazz
2020-03-10 17:22:07+00:00,"YOU sealed my commitment to never vote GOP again. Congratulations Mitch! In your effort for supreme power, you destroyed your party and everyone’s perceptions of it. Thanks for opening my eyes! This independent went over to the light &amp; out of the darkness.",MichNazz
2020-03-10 17:22:02+00:00,Power went out for an hour so I tried to heat up my pizza with a flow,ClayBorrellBot
2020-03-10 17:20:10+00:00,the power went out at my school and i made my friends do this ,hizzobby
2020-03-10 17:07:40+00:00,The power went out right when i was about to out my contacts in....... ,Ph03niz_
2020-03-10 16:53:12+00:00,"MY FUCKING POWER WENT OUT THE MOMENT MW STARTED UPDATING, WHAT ARE THE ODDS",DevlisHere
2020-03-10 16:52:10+00:00,MY POWER WENT OUT,LITTLEKOREAS
2020-03-10 16:49:41+00:00,the power literally went out and my professor is still teaching... I HATE IT HERE,hillaryharts
2020-03-10 16:24:20+00:00,My power just went out and now the fridge won’t give me water .,jemimastuart10
2020-09-04 21:22:03+00:00,"Action-packed gameplay, an original cinematic story, and iconic Super Heroes. Marvel's Avengers is available now on PS4, Xbox One, PC, and Stadia!",PlayAvengers
2020-03-10 15:58:45+00:00,My fucking power went out ,jaye_RBP
2020-03-10 15:50:17+00:00,"Tangina, got afked bc the main power in my house went out for a sec, reseting the wifi which got me afked smfh fml",jonasxxiv
2020-03-10 15:14:44+00:00,"Lol, I'm really sorry you went to deep for me. I promise you (and my wife) I will learn it all someday. Getting the autocratic fascist out of the White House and restoring my home country's democracy is what I'm devoting all my brain power to right now. I did help volunteer...",Jaina_Solo_85
2020-03-10 15:10:33+00:00,My power went out so now I have to make my phone battery last a lifetime,DamenCarmen
