date,tweet
2020-05-10 23:54:54+00:00,My power went out... time to kamikaze swipe right on tinder again.
2020-09-04 21:22:03+00:00,"Action-packed gameplay, an original cinematic story, and iconic Super Heroes. Marvel's Avengers is available now on PS4, Xbox One, PC, and Stadia!"
2020-05-10 23:52:37+00:00,My power went out im scared of the dark 
2020-05-10 23:47:41+00:00,a lot of my friends have to break quarantine bc it’s 40° and half of the city’s power went out this is awesome
2020-05-10 23:44:34+00:00,My power really went out 
2020-05-10 23:43:58+00:00,My mom went out of town alone for Mother’s Day and I respect that power move
2020-05-10 23:43:29+00:00,"So the power just went out on campus, my phones on 3% and I have no good service all in the middle of a pandemic"
2020-05-10 23:42:39+00:00,#tradingpsychology so today our power went out &amp; my wife &amp; I played cards. All day. She kicked my arse. I keep asking her to learn to trade. She told me trading is for arseholes. I said your married to a trader. She said yes I know. 
2020-05-10 23:18:04+00:00,the power went out and i was like why is my phone not charging and i was scared cuz i went to every outlet with different chargers and nothing was working but then i heard the lil beep from the stove and it was flashing 12:00 and i put two and two together 
2020-05-10 23:17:02+00:00,Just missed out on gold 1 because my power went out in the middle of the game. I'm fuming @TobiAseks
2020-05-10 23:15:29+00:00,i got deadpools guns and my fucking power went out
2020-05-10 23:11:27+00:00,I could either.... do school work that is not finished *cough*everything* I mean what...... OR I could say I’m there for 1 class then run and leave :) the power is out for almost everyone and so I do have an excuse to say oh wow my computer already went flat oh well
2020-05-10 22:55:37+00:00,Imagine. I’ve spent the past 6 HRS cleaning my ENTIRE apartment (I was living in squalor ). Made a lit playlist &amp; everything. Was jammin all day &amp; FINALLY the whole place is spotless. Just sat down to take it all in... and the power went out . At least it’s done 
2020-05-10 22:54:18+00:00,Our power Jus went out an my phone on 3% that ain’t what god love 
2020-05-10 22:46:59+00:00,Crazy how the power in my house went out
2020-05-10 22:46:21+00:00,Omfg my power just went out for a second lmaooo I thought I died
2020-05-10 22:43:13+00:00,Wind gusts like crazy! My power went out for a minute.
2020-05-10 22:38:57+00:00,I’m mad asf my power went out. There’s media I wanna consume
2020-05-10 22:32:54+00:00,I once had a breakdown when the power went out in my house. It interrupted my anime! 
2020-05-10 22:02:34+00:00,Today I was about to work but then lights went out for 5 mins and took all my will power with it
2020-05-10 22:01:22+00:00,oh my god the power went out
2020-05-10 22:00:32+00:00,"The power went out, and all I could do as I stood in my dark af room in the basement with one cat on my hip as I made eye contact with the other was say, ""WELL. This is a fine pickle!"""
2020-09-04 21:22:03+00:00,"Action-packed gameplay, an original cinematic story, and iconic Super Heroes. Marvel's Avengers is available now on PS4, Xbox One, PC, and Stadia!"
2020-05-10 21:47:01+00:00,Lmao the power went out of my house while I was drawing something for mother's day.....I didn't save
2020-05-10 21:43:05+00:00,hello my power went out???
2020-05-10 21:31:32+00:00,"being able to do archery in my backyard is too much power...now i'm just like ""damn what if i just went out and did some archery"" every hour of the day"
2020-05-10 21:23:40+00:00,"Power went out. . Waited, all 3 hits from the reclosure and still out. Was really hoping the reclosure kicked our side on lol Wonder if I should put my gear on and help @tellwesterville "
2020-05-10 21:21:07+00:00,Wtf my power went out
2020-05-10 21:17:35+00:00,@MyUsernamesThis half oh=f my power went out the lights work but somethings dont RIP
2020-05-10 21:17:31+00:00,"Just lost out in a local auction for 2 X PS1 and 10 PS1 and PS2 games(all in questionable working order, no controllers, no power) stopped watching auction when it went over $130!! (My max bid-$45) Are people INSANE??? #retrogame #PlayStation"
2020-05-10 21:03:44+00:00,Been waiting for a while now for my power to go out and there it went
2020-05-10 20:58:12+00:00,Great the power went out. With my phone on 10 percent
2020-05-10 20:47:16+00:00,lol my power just went out
2020-05-10 20:39:53+00:00,guys my power went out for the first time ever in my new house and i am ALONEEEEEEEEE can i pls live in my parents house
2020-05-10 20:34:08+00:00,the power went out and my laptop is out of battery i can play animal crossing but after that i have nothing else aa
2020-05-10 20:23:05+00:00,Sorry my power went out :/
2020-05-10 20:16:49+00:00,My power went out today!!! Sos help!!!! Its only been 20 minutes someone help!!!
2020-05-10 20:12:48+00:00,Also: my power went out lol 
2020-05-10 19:54:48+00:00,Hell nah my power just went out 
2020-05-10 19:51:46+00:00,Totally agree with you Harriet most of the time I’ve been on my own in my flat in old town apart from when the power went out and had to move over to my mums for the weekend until Wardbright fixed the problem.
2020-05-10 19:47:14+00:00,State of emergency declared over there. No power to enforce a lockdown but my boy says the streets are very quiet. He went out yesterday to deal with some life admin and said Ueno and Asakusa (busy and popular areas of Tokyo) were very quiet. They won’t let us in either!
2020-05-10 19:41:38+00:00,Sunday’s #3Positives 1. I saw a hare in a field on my trip back from Tesco! 2. Having a little weep at Miss Saigon 25th Anniversary film 3. Actually enjoyed the cool and blustery weather even when our power went out.
2020-05-10 19:40:27+00:00,"My power just went out, my phone is about to die. I’m just going to sleep at this point, which is completely fine "
2020-09-04 21:22:03+00:00,"Action-packed gameplay, an original cinematic story, and iconic Super Heroes. Marvel's Avengers is available now on PS4, Xbox One, PC, and Stadia!"
